tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
MASTER,zKZkPOzMM49KlRTXqYhlub7X5DnlR_miHCvmrb4D46W6f3Y,보고싶다 초선이 ,189,82,47,False,False,True,True
MASTER,WAQ1x-Xfe1xpns-Rx_NqPe-eKYHw5H_4tj9TLXoawT0LRt0,Sama,94,85,77,False,False,True,False
MASTER,qYzvqGYTa6BJYjO-KgMdHsHARcQ9PAHf9aB-MYmFdYNZbis,민 카,129,343,330,False,False,True,False
MASTER,aVRwKE86jwbrC_kpUuGNX7tBJ_YhgpbhuGU7DzK_ozxUIV4,NlSA,11,260,250,True,False,False,False
MASTER,Mwq44nRg2rH1V9vrb1TIn-AqPdA8qZW1sXHKljBPTWNknhU,Pnpm 05,140,170,149,False,False,False,False
MASTER,qSOQ2-okycTkvuvSHCzxbCL-BDLmwv5wdaYOgjfFVmpvpdQdgMYdhxf5hA,ad PaoFu,63,220,179,False,False,True,True
MASTER,j-FUR2vAwKQunngViNjrMw_Z_a_evF4VVSL8pmdomtkArIh_Uta_WOIYnA,기차나나나나,1,69,50,False,False,True,False
MASTER,OOk1qXdONmBn9PoA4k3iNgH3iiH0ufOz8Sd1p4hmB6dQaUg,Sha si suoyou,257,44,20,False,False,True,False
MASTER,rC9FDG-OuWNhWQLt1mjT6-maBJLzEsO-HQM-DwEma0gTPK4,누이 동대 화이팅,1,46,41,False,False,True,False
MASTER,5qNrgW3zi0YwhLswvmNwPU_SLSd8B1yGDPSuUpyn7sdb_AI,Victory a king,0,72,58,False,False,False,False
MASTER,rSuyqJggS-igRxBqhRt27atWrqLr6yo6h_QuhTB22ejuhX9y,신 겸,231,178,154,False,False,True,False
MASTER,0r-45C2A6QMlROBHQq-YvwRZQN8Vf6RimsE_vYrqUq_pdA,정글손대면박는다,22,311,207,False,False,True,False
MASTER,KnQxohwDdHF5PQLU7ciqZI0sMYvHz6BKFgN7WIw4Lgg3Us4A2kWCxNJMqg,1x1 1 ,0,94,72,False,False,False,False
MASTER,hFcNt4gMy2T63NeLDYR5HsFPiowCBzzcmZZBmpx6q5oEVaM,전령 도우미,42,239,231,False,False,False,False
MASTER,GhNIzeaC_Eb8VmS4EuF6UfGmyHLfrCVr8boiXgm-8al-FFYn,99 Kaisa,25,71,55,False,False,True,False
MASTER,EGKwWKblhkxM_epxp_lLyWRfiAantdOR1BSLQFFw5wpfEg,Calm niu,97,257,236,False,False,True,False
MASTER,kZz2p6TeBEEu34AcBNhAhdK5ekFpQbmtEjWJ25rIhCOjCw,우리팀삼도천건넘,33,212,127,False,False,True,False
MASTER,YUV9PORe4KOWbzxm_Yu8YGE2qSiS-_cSrZD_sWR9PMzmC0E,    A    D    맨,1,128,118,False,False,True,True
MASTER,ka4poLd2mk-Pwe-2tOTy2PWPI7nQzXLVKzq4yRfr2HrBXOYCHK5ipoFEHQ,xiaochaomeng,91,65,32,False,False,True,False
MASTER,OWBS_WwFUoMM_NfRG7X9S-PWO6YasJxdyafpZPBi5GGXOjQ,Mad tea party,34,485,468,False,False,True,False
MASTER,o7JBrHtJxG4RUIXMAid05kQFfikYxqMwNEzTS3NLHGzPBwHLmUyhibCZiQ,구름월광,20,68,30,False,False,False,True
MASTER,nenGRX8qr_aBx-VMSIWQrWPFrOznk4YItLlGOegdoJOYrURs,망걍파,50,53,39,False,False,True,True
MASTER,--qNa4ivyG54Eccf1tatseldJenFngtAikvHxi8MHmThQ2c,도움핑연속시차단,61,212,200,False,False,False,False
MASTER,P7kfFRZMG_oKUVuWje998r-5UiMmyhmqqGgz1fDk2t8n00pj,한국한량,0,242,228,False,False,True,False
MASTER,NWHDmbhWMqWlLqbzz4HvuZ8b4NgE_gMd-o_1mueIqntmeQ,빛 형 규,0,84,71,False,False,True,False
MASTER,u3VrveWrQA2J-qKRYckScX44QcpTGeEs4bzVTFSl90AbuK4,따 균 좌,123,190,182,False,False,False,False
MASTER,Z6TXVnxXxNgqbdaZId7EOSR8QIF0sCAX50fMH5sqCJOxY4M,Semper7,107,286,272,False,False,True,False
MASTER,5V32sn_IMoYGH_u-N5bQqqwbzJrCi0LekmdRGrTWoTA0P99y9HsPu45qBA,funney game,63,115,80,False,False,True,False
MASTER,QeWfSoiXxqDEJbpa_ZhuBfIDUM0djoFDo4MRmt5xmpMah40,Cox Sword,148,365,276,True,False,False,True
MASTER,Qlr4eYWyg3xTmsuj1t0MaxFmIwaoHakKA00Li_OBfjGtmg,Fezand,71,151,132,False,False,False,False
MASTER,VRg9LNnZP0Sih-y8ORc5jtWn1mNI9fGw1UjJJajCdKH4Gc7EGgO9M9rRDA,M00naYo,44,206,166,False,False,False,False
MASTER,Tm6jBnxlPYBg_B-gWhO7YVKh8RfTRv5H64SRyGAYyaBEX20,루나 공삼,76,692,688,False,False,True,True
MASTER,kD2m_I6tZvj263rXFbfoRUUfchQmSa1deQ09_Q0yQs4nvOc,GCA Bless,1,30,13,False,False,False,False
MASTER,xZnT5VO1DzrNi7Xs09zjffyJGlaEeZ4GryTkLGpYAjkkyA,wondelier,156,367,332,False,False,True,False
MASTER,C4c9fiouApdI_31S2s-a3iZ-BT61fzTGSs1heJuNnYsXkSjQAz2NIFsv5A,DesertDove121,72,112,86,False,False,False,False
MASTER,VEPsrSBNsbGZhQCOiHNNMOsXXtu9rq4dyG67-SMRD-_2lxk,hao kun hao kun,38,127,117,False,False,False,False
MASTER,EYFuGfJVLo6DSeJEfo_zayENUbmBW9V-MZz_kISXtYF7fnk,널 암살,89,298,266,False,False,True,False
MASTER,hP4mn-Q2htO9FqW-QxuND_pR3f8H_xZ7IaEq2twLwlE61A,중화산동부자,0,93,89,False,False,True,False
MASTER,PigFG8atKzOqmM5aDhydWcOE4jnIPFh0qD90rIZRIlvEvas,wlrjs,93,145,124,True,False,False,False
MASTER,73-anu3jPPAoWiDA-MJkpR-SoX9mhySoSdCn-TWnX6S1YI4P,이동하1,85,268,253,False,False,True,False
MASTER,_QfunbMyI8nK7j0mw078jUTqrLnZ3uONxzbP9Fk7BjOCNRtHDrvPxeDflg,M24aidg,0,105,61,False,False,True,False
MASTER,COvyAAEfAHHA1HinRbMQLpYUWg_J1G9pYaFqM3F4f2Bc-J0,BARDK1NG,1,69,50,False,False,False,True
MASTER,qUfhehWaZCncmja8OEwD-c8LMDYbNF8LgVqMCcyVsfiNpek,열등맨,161,224,202,False,False,False,False
MASTER,pUQvqXSxyWgwBYQcLPWqR_1yVitUrCUQiKKPw3ZpHmr7wg,Gen G Flawless,1,140,135,False,False,True,True
MASTER,KjCGrjYWXNi2BEJAV6j4jX7TRLHylOZIgx-PHfUAZmNtoI0,돈야호,16,129,122,False,False,True,True
MASTER,PHuCI61rOtNU7KRRpNCuDyfen7OMDYJ0BuZw8hSoSHmYjX8,DDZ 다시한번n1l,111,64,39,False,False,True,True
MASTER,505yS7mzorhNhUDwY4L0JFa0PQJlyNKVPf-qexEaF4fk2PU,ililiilliliiil,113,325,293,False,False,True,False
MASTER,9g1QlkwuMlbaAXf1_QD7oxJ7XNwcfPhf6-LGycAGIvsFlz4,매사에 긍정,125,384,363,False,False,True,False
MASTER,0rT9pwrzprUDlfC2fpNXt7zD0YStPWcAVEQ38TrDHOJG6UkP,수동적인자,97,192,171,False,False,False,False
MASTER,gls1v4RLYVwUvkO3nLoqbmOFi9_fPGQaiJWG4xN6Lj9S_Q,바삐냥,44,105,75,False,False,False,False
MASTER,6gcAtX6Vj5bTrlq20ERUBE5ESyMbyWJAXe0Pm_NoXs2vNA,기임산,76,126,92,False,False,True,True
MASTER,3NK9kBAzNtxZAZHmnIw59LEPXwaxdk7vjlnar7h18Q4FNtE,Liiv TolanD,60,303,289,False,False,True,True
MASTER,9XAXt8QL6-R3ukdMmTf6P8ZkrMOHoBJp95lyMJf4YkB4LfU,몽 커,36,114,92,False,False,False,False
MASTER,VVKoAg26qFdm38VpIEj3uBTx_gsgmmtxRm-zaJ1NRAQqs-0,맑아질거야,1,217,173,False,False,True,False
MASTER,rAuiobACD8INigaZTSGxvnpzlMvJNIwweyKhTrK0dTFPuMiIZwMFbWAOig,춘 람,213,123,80,False,False,False,False
