tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,account_id
CHALLENGER,Og1kcm912fTrzNSnei3CnOoVIKlvaRSvCGQ2M8PRVEoPT8tjfh_RaN8xKw,SNAngeI,761,211,164,True,False,False,False,rXq2zWm40Ek_2_RLitl16EgQcVjjupg7ptZxC-p4tMAwKZWvxZmTm-XL
CHALLENGER,kjTkR5UqDAW8IOt5nrj43KGKdwtsVXPM6Cy1lvhb6r1fJms,제주대옥효,727,156,108,False,False,False,False,5ZcjWM6WssvsPD3oLUZTS0v4wlhLXmHJP62VlT0ch7k-7108fvu60H8-
CHALLENGER,GjT5MvZ4IQbGFch9cMrVrjxU7hd1u9opZvFkD_g79gwYG6k,BRO Yaharong,683,568,530,False,False,True,False,BsgYhi7GEiOfS-gLnQkbq5wyUnV21sTH5vLfQhMNTDjWgQE
CHALLENGER,P1dvYr28pFU5EOvugZyjI2h88jB-bk9TB2mSZ_J_Juin4trcZgIyPzET9Q,pikachu1234,609,212,153,False,False,True,False,q9BLPUqH-rFS-4zLF6ddUdGgO0g9lg9c9oCh618aSPEgesGn4dAyh5rU
CHALLENGER,P1WNXGYuy6c8EhYDJtvcpX3Hk-Aj_rpEviTAnuZIkd5GW5c,Rumor,654,231,197,False,False,False,True,hGTkILxPWmRc72sb_cXncyr9e9qKsCYOV1jGpizNUBJKT4FCnp2wLpkJ
CHALLENGER,BcJawBW-TqeK0GZPa3rHo3MkOOQ5YgLi0J1ufBJgGCe21R4,NS Sylvie,803,181,142,False,False,False,False,hkRYXXeOQ8yWjcCXFmoWBS7Hn-c4TshUVDw6dxpXNl4uI2dPXekfAmd_
CHALLENGER,57pAuQhCAo--KMLHiZN4LpPOjgEZVlwHnEn5iQPW3nG6j2ih,늙은 천재,672,526,484,False,False,False,False,bt2z1zI77LIA6T3WmXXackxxsVhONw-RCW07wDht-dw8UeIKEIKKa1Ze
CHALLENGER,i9RPYKPpXt_XHXiaQcgGgtYwqwVsTg-BmmYkqm0Tca4Bcx8,Gen G Rascal,694,188,158,True,False,False,False,rqwnxpk_0fay8I75k3hrkVx-b8zwxtwq3SZqU0YEKNajILM
CHALLENGER,hjbtzemUqJ7fjrXGgJyBAHPSw1pYM2Ul5tetVpddN_mC7GY,쿠 리,809,286,236,True,False,False,False,4dRaSQEZigzSwOT6a70C-cX_wtaYueFM83k37u9ppAfb61FBnJUoYiUu
CHALLENGER,qas14S321NTKRDIc00mF2Sp13e6n0GZDbptd14Xu1snWjyg,사그파,644,283,234,False,False,True,False,DgXYnyx42x9AM1zktxokDDVtMdV-xZsExVF_LMO0l8q5B3U
CHALLENGER,c6J1GHp_YlADEqqvT9L8DBiAMenhfdqmD0T-2mb5dntmYmA,liiiiliiiiiill,620,227,199,False,False,True,False,uPXy4e7RkPFwJ1IFzbaMYJkxbtRbEbbuF3UOtNQMnJHGSAQ
CHALLENGER,1tZCIZJoH1Q-PifdeAbwKLoZNFTqxtaTPXsjj1X7u-ZWXm8,의연하게대처하다,585,156,121,False,False,False,False,YGglCuKd_6hYmEjhIrwFIoSBS-iGtOehO2Xz1RFuTEl7y0DB_RVxd7ae
