assists,champLevel,creepsPerMinDeltas,csDiffPerMinDeltas,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,damageTakenDiffPerMinDeltas,damageTakenPerMinDeltas,deaths,goldEarned,goldPerMinDeltas,goldSpent,kills,lane,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,participantId,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,role,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,totalHeal,totalMinionsKilled,totalTimeCrowdControlDealt,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,xpDiffPerMinDeltas,xpPerMinDeltas
3.0,14.0,"{'10-20': 8.899999999999999, '0-10': 6.6}","{'10-20': 1.5999999999999996, '0-10': 0}",12081.0,2942.0,6123.0,"{'10-20': -172.10000000000002, '0-10': -62.20000000000002}","{'10-20': 741.7, '0-10': 327.5}",4.0,9668.0,"{'10-20': 520.9000000000001, '0-10': 264.6}",8975.0,5.0,TOP,20.0,0.0,13.0,5,96097.0,12084.0,8089.0,SOLO,21.0,99711.0,13313.0,13812.0,3623.0,155.0,86.0,3614.0,1229.0,1438.0,25.0,1.0,2.0,6.0,True,"{'10-20': 133.7, '0-10': -64.60000000000002}","{'10-20': 677.4, '0-10': 406.9}"
9.0,14.0,"{'10-20': 6.8999999999999995, '0-10': 5.7}","{'10-20': 0.7999999999999994, '0-10': -2.5}",4670.0,1875.0,12841.0,"{'10-20': -334.19999999999993, '0-10': 143.6}","{'10-20': 832.4000000000001, '0-10': 498.4}",4.0,8651.0,"{'10-20': 280.8, '0-10': 255.79999999999998}",7575.0,2.0,TOP,0.0,0.0,0.0,10,7159.0,86.0,15855.0,SOLO,14.0,82949.0,9596.0,20366.0,6642.0,154.0,292.0,48.0,48.0,304.0,17.0,3.0,1.0,10.0,True,"{'10-20': -20.100000000000023, '0-10': -110.79999999999998}","{'10-20': 469.4, '0-10': 405.4}"
13.0,16.0,"{'10-20': 8.9, '0-10': 7.7}","{'10-20': 1.6000000000000005, '0-10': -1}",13021.0,5567.0,28599.0,"{'10-20': 77.39999999999998, '0-10': -27.5}","{'10-20': 775.8, '0-10': 409.6}",4.0,10851.0,"{'10-20': 379.5, '0-10': 254.1}",9600.0,2.0,TOP,7.0,4.0,1.0,8,67829.0,5107.0,14953.0,SOLO,24.0,146882.0,14427.0,21608.0,1882.0,199.0,434.0,16627.0,0.0,1391.0,14.0,2.0,2.0,11.0,True,"{'10-20': 48.20000000000002, '0-10': -61.70000000000002}","{'10-20': 533, '0-10': 473.3}"
6.0,14.0,"{'10-20': 7.3, '0-10': 7.699999999999999}","{'10-20': -1.0999999999999996, '0-10': -0.10000000000000009}",3966.0,3966.0,13218.0,"{'10-20': 294.79999999999995, '0-10': 125.69999999999996}","{'10-20': 798.4, '0-10': 581.4}",4.0,10765.0,"{'10-20': 346.9, '0-10': 318.9}",9010.0,5.0,TOP,0.0,0.0,0.0,4,15080.0,915.0,13562.0,SOLO,1.0,112101.0,15270.0,23566.0,5498.0,183.0,66.0,4870.0,0.0,365.0,14.0,3.0,2.0,11.0,True,"{'10-20': -112.70000000000002, '0-10': 60.70000000000002}","{'10-20': 430.7, '0-10': 485.9}"
27.0,18.0,"{'10-20': 5.6, '0-10': 6.9}",,1787.0,1787.0,18248.0,,"{'10-20': 1956.3000000000002, '0-10': 413.2}",4.0,16860.0,"{'10-20': 778.5, '0-10': 639.7}",15400.0,18.0,TOP,0.0,,,1,6131.0,744.0,17677.0,DUO,49.0,110820.0,37545.0,25253.0,8181.0,136.0,396.0,2136.0,171.0,594.0,0.0,0.0,,,True,,"{'10-20': 1165.9, '0-10': 721}"
33.0,18.0,"{'10-20': 1.9, '0-10': 1.5}",,721.0,721.0,20459.0,,"{'10-20': 1837.6, '0-10': 700.5}",6.0,13769.0,"{'10-20': 672.3, '0-10': 499.2}",13250.0,8.0,TOP,0.0,,,2,5823.0,892.0,16044.0,DUO_SUPPORT,43.0,64141.0,25876.0,28264.0,3859.0,36.0,72.0,1936.0,1786.0,1004.0,0.0,0.0,,,True,,"{'10-20': 1229.7, '0-10': 668.7}"
45.0,18.0,"{'10-20': 0.1, '0-10': 1}",,953.0,953.0,8366.0,,"{'10-20': 643.3, '0-10': 272.7}",3.0,13872.0,"{'10-20': 615.3, '0-10': 559.9}",12600.0,7.0,TOP,0.0,,,3,3786.0,624.0,6541.0,DUO_SUPPORT,38.0,20727.0,7224.0,12071.0,6090.0,11.0,399.0,2275.0,0.0,415.0,0.0,0.0,,,True,,"{'10-20': 1184.4, '0-10': 711.9000000000001}"
30.0,18.0,"{'10-20': 4.3, '0-10': 2.7}",,3650.0,3650.0,12793.0,,"{'10-20': 1447.3000000000002, '0-10': 513.1}",5.0,18764.0,"{'10-20': 946.8, '0-10': 604.7}",18050.0,25.0,TOP,0.0,,,5,112500.0,53996.0,12595.0,DUO_SUPPORT,47.0,123633.0,56770.0,22299.0,13742.0,75.0,233.0,5578.0,548.0,972.0,0.0,0.0,,,True,,"{'10-20': 1190, '0-10': 695.3}"
39.0,18.0,"{'10-20': 4, '0-10': 1.9}",,6193.0,6193.0,10987.0,,"{'10-20': 1668, '0-10': 787.5}",3.0,14563.0,"{'10-20': 729, '0-10': 585.8}",7450.0,3.0,TOP,0.0,,,1,81424.0,16945.0,10672.0,DUO_SUPPORT,23.0,87505.0,17925.0,24555.0,21179.0,59.0,47.0,5030.0,0.0,66.0,0.0,0.0,,,True,,"{'10-20': 1406.8000000000002, '0-10': 818}"
15.0,17.0,"{'10-20': 2.1, '0-10': 3.8}",,0.0,0.0,53812.0,,"{'10-20': 2436.8, '0-10': 1206.9}",14.0,13906.0,"{'10-20': 678.3, '0-10': 570.8}",12333.0,9.0,TOP,0.0,,,2,59962.0,16698.0,19029.0,DUO_SUPPORT,13.0,61142.0,17823.0,36437.0,4122.0,59.0,79.0,1180.0,1125.0,1575.0,0.0,0.0,,,True,,"{'10-20': 987.0999999999999, '0-10': 635.7}"
