assists,champLevel,creepsPerMinDeltas,csDiffPerMinDeltas,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,damageTakenDiffPerMinDeltas,damageTakenPerMinDeltas,deaths,goldEarned,goldPerMinDeltas,goldSpent,kills,lane,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,participantId,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,role,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,totalHeal,totalMinionsKilled,totalTimeCrowdControlDealt,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,xpDiffPerMinDeltas,xpPerMinDeltas
11.0,13.0,"{'10-20': 1.2999999999999998, '0-10': 0.4}",,21665.0,0.0,23441.0,,"{'10-20': 609, '0-10': 829.6}",1.0,8425.0,"{'10-20': 357.1, '0-10': 294.6}",8200.0,3.0,JUNGLE,128.0,9.0,95.0,5,52677.0,5110.0,15365.0,NONE,21.0,135088.0,9686.0,19356.0,9722.0,19.0,1080.0,15916.0,1592.0,84.0,27.0,8.0,7.0,10.0,True,,"{'10-20': 529.4, '0-10': 327.5}"
13.0,14.0,"{'10-20': 2.5, '0-10': 1.3}","{'10-20': 1.7000000000000002, '0-10': 1}",31993.0,1808.0,29249.0,"{'10-20': -3.300000000000068, '0-10': -21.5}","{'10-20': 1088.6999999999998, '0-10': 921.3000000000001}",2.0,13065.0,"{'10-20': 642.5, '0-10': 436}",12550.0,12.0,JUNGLE,105.0,19.0,56.0,10,102087.0,13020.0,20351.0,NONE,22.0,151985.0,17994.0,27747.0,16010.0,48.0,152.0,12696.0,1104.0,2659.0,27.0,4.0,3.0,5.0,True,"{'10-20': 167.3, '0-10': 90.20000000000002}","{'10-20': 563.8, '0-10': 462}"
11.0,16.0,"{'10-20': 2.1999999999999997, '0-10': 0.2, '30-end': 1.6, '20-30': 1.2}",,47652.0,0.0,23398.0,,"{'10-20': 1024.4, '0-10': 731.3, '30-end': 1570, '20-30': 1307.8}",7.0,13571.0,"{'10-20': 403.7, '0-10': 341, '30-end': 559.8, '20-30': 281.6}",13655.0,9.0,JUNGLE,130.0,12.0,77.0,7,130645.0,14794.0,22771.0,NONE,14.0,169796.0,20515.0,38485.0,16716.0,44.0,151.0,26782.0,3378.0,2583.0,53.0,8.0,14.0,7.0,True,,"{'10-20': 517.2, '0-10': 343.29999999999995, '30-end': 739.4, '20-30': 312.5}"
10.0,18.0,"{'10-20': 8.5, '0-10': 8.9, '30-end': 9.4, '20-30': 3.1}",,41350.0,17459.0,18257.0,,"{'10-20': 547.1, '0-10': 348.2, '30-end': 1168.2, '20-30': 1202.1}",4.0,21249.0,"{'10-20': 597.8, '0-10': 524.8, '30-end': 752.6, '20-30': 575.1}",21345.0,17.0,JUNGLE,59.0,19.0,25.0,8,292689.0,55953.0,15819.0,NONE,10.0,316898.0,62195.0,26815.0,12247.0,252.0,211.0,778.0,608.0,2542.0,31.0,0.0,8.0,12.0,True,,"{'10-20': 584.3, '0-10': 536.0999999999999, '30-end': 1176.4, '20-30': 436.9}"
11.0,14.0,"{'10-20': 1.8, '0-10': 0.9}","{'10-20': 0.4, '0-10': 0.9}",21344.0,342.0,15027.0,"{'10-20': -77.69999999999996, '0-10': 42.30000000000001}","{'10-20': 791.1, '0-10': 766.1}",1.0,11189.0,"{'10-20': 562.4000000000001, '0-10': 437.3}",10525.0,10.0,JUNGLE,144.0,12.0,93.0,4,16053.0,760.0,11852.0,NONE,8.0,167934.0,18368.0,18237.0,7948.0,31.0,377.0,9130.0,1019.0,278.0,21.0,1.0,2.0,3.0,True,"{'10-20': 122.19999999999996, '0-10': 129.70000000000002}","{'10-20': 622.5999999999999, '0-10': 441.20000000000005}"
6.0,15.0,"{'10-20': 1.5, '0-10': 0, '20-30': 1}","{'10-20': 0.8, '0-10': -0.30000000000000004, '20-30': -0.5}",46826.0,5197.0,23946.0,"{'10-20': 88.59999999999997, '0-10': 125.29999999999995, '20-30': 71.10000000000008}","{'10-20': 821.2, '0-10': 644.8, '20-30': 868.3000000000001}",4.0,11430.0,"{'10-20': 407.5, '0-10': 288.2, '20-30': 350.5}",10850.0,5.0,JUNGLE,154.0,1.0,109.0,8,30407.0,904.0,15112.0,NONE,4.0,186871.0,9300.0,23780.0,11889.0,25.0,83.0,11562.0,68.0,148.0,29.0,6.0,3.0,8.0,True,"{'10-20': 98.4, '0-10': 87.1, '20-30': 75}","{'10-20': 460.3, '0-10': 372.9, '20-30': 400.5}"
3.0,13.0,"{'10-20': 1.7000000000000002, '0-10': 0.4}","{'10-20': -0.7999999999999997, '0-10': 0.30000000000000004}",19000.0,0.0,12197.0,"{'10-20': -561.6, '0-10': -431.6}","{'10-20': 828.5, '0-10': 538.8}",3.0,10044.0,"{'10-20': 491.2, '0-10': 385.8}",9260.0,10.0,JUNGLE,116.0,9.0,74.0,4,21223.0,1907.0,11731.0,NONE,7.0,125019.0,10580.0,15585.0,6109.0,23.0,207.0,8089.0,422.0,526.0,19.0,5.0,4.0,5.0,True,"{'10-20': 32.89999999999995, '0-10': 0.5000000000000142}","{'10-20': 542.8, '0-10': 330.9}"
5.0,12.0,"{'10-20': 0.5, '0-10': 0}","{'10-20': -0.2, '0-10': -0.4}",19812.0,0.0,15095.0,"{'10-20': -633.1, '0-10': -222.60000000000002}","{'10-20': 689.2, '0-10': 549.7}",2.0,8405.0,"{'10-20': 354.5, '0-10': 304.20000000000005}",7475.0,8.0,JUNGLE,94.0,7.0,63.0,3,18466.0,1201.0,11623.0,NONE,9.0,122522.0,11418.0,13609.0,5977.0,17.0,174.0,6454.0,464.0,0.0,12.0,1.0,0.0,3.0,True,"{'10-20': 62.900000000000006, '0-10': -53.69999999999999}","{'10-20': 399.2, '0-10': 295.5}"
13.0,10.0,"{'10-20': 0.2, '0-10': 0.2}","{'10-20': -1.5999999999999999, '0-10': 0.1}",925.0,94.0,17482.0,"{'10-20': -110.29999999999995, '0-10': -311.1}","{'10-20': 850.9000000000001, '0-10': 464.3}",3.0,6395.0,"{'10-20': 291.29999999999995, '0-10': 234}",5750.0,1.0,JUNGLE,76.0,4.0,61.0,5,15256.0,1525.0,9765.0,NONE,22.0,64562.0,5042.0,13997.0,5379.0,5.0,320.0,4905.0,729.0,0.0,18.0,2.0,3.0,4.0,True,"{'10-20': -121.5, '0-10': -94.1}","{'10-20': 391, '0-10': 241.5}"
14.0,16.0,"{'10-20': 2, '0-10': 0.4, '20-30': 0.9}","{'10-20': 1.2999999999999998, '0-10': -0.19999999999999996, '20-30': -0.5}",15970.0,3220.0,27578.0,"{'10-20': 173.70000000000005, '0-10': 5.900000000000006, '20-30': 197.5}","{'10-20': 986.1, '0-10': 569.1, '20-30': 1437.4}",7.0,12375.0,"{'10-20': 378.4, '0-10': 324, '20-30': 342}",12175.0,6.0,JUNGLE,138.0,19.0,93.0,9,112773.0,11815.0,23774.0,NONE,17.0,150921.0,15788.0,34316.0,10224.0,35.0,367.0,7343.0,435.0,3330.0,27.0,7.0,3.0,14.0,True,"{'10-20': 74.09999999999998, '0-10': 106.3, '20-30': -189.9}","{'10-20': 433.6, '0-10': 367.3, '20-30': 464.9}"
