assists,champLevel,creepsPerMinDeltas,csDiffPerMinDeltas,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,damageTakenDiffPerMinDeltas,damageTakenPerMinDeltas,deaths,goldEarned,goldPerMinDeltas,goldSpent,kills,lane,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,participantId,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,role,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,totalHeal,totalMinionsKilled,totalTimeCrowdControlDealt,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,xpDiffPerMinDeltas,xpPerMinDeltas
25.0,16.0,"{'10-20': 0.7, '0-10': 0.4, '30-end': 0.2, '20-30': 0.7}","{'10-20': -8.4, '0-10': -6.4, '30-end': -2.4, '20-30': -3.7}",1928.0,1128.0,11794.0,"{'10-20': 280, '0-10': 132.59999999999997, '30-end': 112.20000000000005, '20-30': 158.1}","{'10-20': 591.5, '0-10': 447.79999999999995, '30-end': 1165, '20-30': 756}",13.0,9854.0,"{'10-20': 258.6, '0-10': 201.6, '30-end': 291.4, '20-30': 264.7}",8885.0,1.0,BOTTOM,0.0,0.0,0.0,9,2628.0,922.0,10302.0,SOLO,25.0,13803.0,4350.0,25937.0,3744.0,19.0,218.0,18.0,18.0,597.0,113.0,17.0,12.0,54.0,False,"{'10-20': -244.49999999999997, '0-10': -133.3, '30-end': 93.39999999999998, '20-30': 151.3}","{'10-20': 291.4, '0-10': 221.10000000000002, '30-end': 595, '20-30': 588.5}"
15.0,14.0,"{'10-20': 1.6, '0-10': 1.2, '20-30': 0.4}","{'10-20': 0.3500000000000001, '0-10': 0.7499999999999998, '20-30': 0.5999999999999994}",1120.0,343.0,43961.0,"{'10-20': -327.85, '0-10': -95.75000000000001, '20-30': 171.45000000000005}","{'10-20': 350.3, '0-10': 373, '20-30': 1070.7}",5.0,9397.0,"{'10-20': 375.3, '0-10': 240.3, '20-30': 190.60000000000002}",9150.0,4.0,BOTTOM,0.0,0.0,0.0,5,1074.0,386.0,19902.0,DUO_SUPPORT,58.0,41106.0,15288.0,25833.0,1557.0,34.0,108.0,5802.0,1046.0,2078.0,100.0,16.0,10.0,50.0,False,"{'10-20': -26.80000000000004, '0-10': 23.55000000000001, '20-30': -97.40000000000003}","{'10-20': 369, '0-10': 255, '20-30': 350.79999999999995}"
2.0,9.0,"{'10-20': 3, '0-10': 5.6}","{'10-20': -2.7, '0-10': -1.8}",941.0,0.0,24080.0,"{'10-20': 483.54999999999995, '0-10': 199.70000000000002}","{'10-20': 1516, '0-10': 620.4}",8.0,5360.0,"{'10-20': 230.4, '0-10': 254.8}",5250.0,2.0,BOTTOM,0.0,0.0,0.0,8,9550.0,753.0,13090.0,DUO_CARRY,21.0,27305.0,6173.0,21364.0,2128.0,86.0,173.0,304.0,0.0,843.0,15.0,4.0,3.0,7.0,False,"{'10-20': -250.3, '0-10': -22.65000000000002}","{'10-20': 267.3, '0-10': 289.9}"
5.0,9.0,"{'10-20': 1.8, '0-10': 0.2}","{'10-20': -2.7, '0-10': -1.8}",1114.0,89.0,6708.0,"{'10-20': 483.54999999999995, '0-10': 199.70000000000002}","{'10-20': 1089.9, '0-10': 432.1}",9.0,6337.0,"{'10-20': 357.9, '0-10': 224.89999999999998}",6100.0,2.0,BOTTOM,0.0,0.0,0.0,10,27653.0,10483.0,8218.0,DUO_SUPPORT,38.0,29292.0,11280.0,15220.0,5682.0,20.0,153.0,1639.0,797.0,345.0,28.0,4.0,6.0,15.0,False,"{'10-20': -250.3, '0-10': -22.65000000000002}","{'10-20': 390.3, '0-10': 209.9}"
12.0,12.0,"{'10-20': 0.7, '0-10': 0.2}","{'10-20': -1.85, '0-10': -0.4500000000000002}",2623.0,289.0,8196.0,"{'10-20': -179.44999999999993, '0-10': -186.04999999999998}","{'10-20': 428.3, '0-10': 103}",5.0,7289.0,"{'10-20': 239.2, '0-10': 191.2}",6850.0,1.0,BOTTOM,0.0,0.0,0.0,7,3623.0,1420.0,6236.0,DUO_SUPPORT,29.0,28462.0,12925.0,11342.0,1447.0,14.0,223.0,0.0,0.0,1083.0,74.0,15.0,10.0,45.0,False,"{'10-20': -12.499999999999972, '0-10': 15.950000000000045}","{'10-20': 305.20000000000005, '0-10': 273.8}"
9.0,10.0,"{'10-20': 0.8, '0-10': 0.4}","{'10-20': -0.8999999999999999, '0-10': -2.220446049250313e-16}",743.0,743.0,6444.0,"{'10-20': -46.85000000000002, '0-10': -45.60000000000002}","{'10-20': 199.70000000000002, '0-10': 426.1}",5.0,5946.0,"{'10-20': 239.5, '0-10': 245.1}",5800.0,0.0,BOTTOM,0.0,0.0,0.0,2,2891.0,1339.0,6942.0,DUO_SUPPORT,27.0,21522.0,10146.0,10350.0,551.0,15.0,174.0,0.0,0.0,227.0,58.0,10.0,5.0,29.0,False,"{'10-20': -141.05, '0-10': 20.749999999999957}","{'10-20': 327.3, '0-10': 260.4}"
2.0,8.0,"{'10-20': 1.1, '0-10': 1.7999999999999998}","{'10-20': 0.6000000000000001, '0-10': 0.5999999999999999}",0.0,0.0,10589.0,"{'10-20': 195.19999999999996, '0-10': 25.850000000000023}","{'10-20': 776.5999999999999, '0-10': 376.70000000000005}",6.0,4557.0,"{'10-20': 192.2, '0-10': 203.4}",4125.0,1.0,BOTTOM,0.0,0.0,0.0,2,4562.0,1086.0,8301.0,DUO_SUPPORT,23.0,14111.0,3162.0,11533.0,349.0,29.0,57.0,5569.0,536.0,1172.0,41.0,11.0,4.0,22.0,False,"{'10-20': -179.79999999999998, '0-10': -42.80000000000001}","{'10-20': 169.89999999999998, '0-10': 252.3}"
13.0,9.0,"{'10-20': 1.5, '0-10': 1.1}","{'10-20': 2.2, '0-10': 0.44999999999999973}",0.0,0.0,12358.0,"{'10-20': 42.39999999999998, '0-10': -60.55000000000004}","{'10-20': 709.6, '0-10': 436.70000000000005}",8.0,5451.0,"{'10-20': 250.1, '0-10': 218.10000000000002}",5375.0,0.0,BOTTOM,0.0,0.0,0.0,9,5256.0,1592.0,8720.0,DUO_SUPPORT,40.0,17276.0,4652.0,13274.0,434.0,26.0,167.0,6700.0,0.0,2870.0,38.0,7.0,4.0,19.0,False,"{'10-20': 54.64999999999995, '0-10': 17.15000000000005}","{'10-20': 337.1, '0-10': 223.70000000000002}"
8.0,13.0,"{'10-20': 1.9, '0-10': 1.3}",,323.0,0.0,16850.0,,"{'10-20': 672, '0-10': 465}",9.0,6956.0,"{'10-20': 265.5, '0-10': 215}",6975.0,3.0,BOTTOM,0.0,0.0,0.0,1,4940.0,749.0,10894.0,DUO_SUPPORT,25.0,19580.0,5299.0,21237.0,1795.0,39.0,84.0,5220.0,919.0,284.0,57.0,7.0,7.0,31.0,False,,"{'10-20': 347.2, '0-10': 261}"
7.0,11.0,"{'10-20': 1.9, '0-10': 1.4}",,852.0,852.0,27669.0,,"{'10-20': 886.1, '0-10': 580}",9.0,5991.0,"{'10-20': 244.7, '0-10': 199.60000000000002}",5750.0,0.0,BOTTOM,0.0,0.0,0.0,3,4661.0,534.0,11686.0,DUO_SUPPORT,24.0,23004.0,6884.0,22664.0,3431.0,37.0,142.0,6479.0,288.0,720.0,39.0,4.0,8.0,21.0,False,,"{'10-20': 383.6, '0-10': 250.3}"
